recrutement,nom,datesClefs,logo,codePostal,titresMajeurs,administratif,description,effectifs,email,rue,ville,anneeCreation,statut,contacts,RCS,categorie,titresEnCours,telephone,actualite,url,adresse,NAF,fax,website,chiffreAffaire
,Alt Shift,,http://www.afjv.com/img/logo/_alt_shift.png,34090,,,"Alt Shift est un studio indépendant montpelliérain spécialisé dans la création de jeux vidéo sociaux  et/ou géolocalisés, à destination des plates-formes web et mobiles. Fondée en 2010 par 5 associés, l'entreprise Alt Shift se positionne sur les technologies innovantes du secteur des loisirs numériques, notamment les nouvelles technologies serveur massivement multi-utilisateurs, grâce à notre activité de recherche et développement menée en collaboration avec le LIRMM (Laboratoire d'Informatique, de Robotique et de Microélectronique de Montpellier).De nombreuses institutions soutiennent d'ores et déjà notre effort d'innovation telles que le BIC Montpellier Agglomération ou encore Languedoc Roussillon Incubation.",3,contact@altshift.fr,"1919, route de Mende",Montpellier,2010,SAS,"Frédéric Lopez - Président 
 Julien Cotret - Directeur technique 
 Vincent Noel - Développeur principal",Montpellier B 522 929 686,Studios,,06 20 13 01 81,"Alt Shift lance une campagne de ""crowdfunding""1 mars 2012 - Alt Shift, le jeune studio indépendant de Montpellier, lance, ce 29 février, une campagne de ""crowdfunding"" pour financer les dernières étapes du développement du jeu Besyde, son premier jeu ...",http://www.afjv.com/societe/605-alt-shift.htm,"1919, route de Mende 34090 Montpellier",6201Z - Programmation informatique ,,http://www.alternativeshift.fr,8000
,Almédia,,http://www.afjv.com/img/logo2/almedia.png,67100,,,"Almédia est un studio de développement multimédia spécialisé dans la conception, la réalisation et la diffusion de serious game, advergame et newsgame. Nous utilisons les principes de ludification pour transposer les mécaniques du jeu vidéo dans d’autres domaines. Notre objectif est l’apprentissage et la pédagogie par le jeu, aussi bien scolaire que professionnel, avec une consonance artistique forte. Nos compétences vont de l’interactivé en ligne, l'immersion 360°, la simulation à la mobilisation par le jeu.",Information indisponible,web@almedia.fr,155 route du Polygone,Strasbourg,2009,SARL,"Gilles Noeppel - Gérant - gn@almedia.fr 
 Adrien Leinen - Responsable communication - ale@almedia.fr",Strasbourg B 510 411 689,Studios,,03 67 08 23 04,"Antoine Schmoll prend la direction d'Almédia Games30 avr. 2015 - Illustrateur et directeur artistique qui fait parler de lui depuis quelques mois dans l'écosystème strasbourgeois du jeu vidéo, Antoine Schmoll vient d'être nommé gérant d'Almédia Games, au cours ...",http://www.afjv.com/societe/874-almedia.htm,155 route du Polygone 67100 Strasbourg,5829A - Édition de logiciels système et de réseau,,http://www.almedia.fr/,130700
,Alphasound Production,,http://www.afjv.com/img/logo2/alpha_sound.png,75020,,,"Alphasound Production est un studio de post-production sonore situé à Paris..Nos audits permettent l’enregistrement et le mixage de projets TV, de jeux vidéo, d’animations et de flux audio (méthode de langue, audio book, e learning, sérious game, etc).D’autre part, notre site Castingvoix.fr permet un casting vocal regroupant plus de 200 comédiens voix-off professionnels travaillant en France.Nos locaux parisiens permettent de rassembler les comédiens pour les enregistrements, d’effectuer une direction de plateau traditionnelle et de post-produire vos projets.",1,info@alphasound.fr,"98, rue des Haies",Paris,2004,SARL,Aurélien PICHOD - ,Paris B 451 282 172,Prestataires,,09 72 19 11 60,,http://www.afjv.com/societe/577-alphasound-production.htm,"98, rue des Haies 75020 Paris",5920Z - Enregistrement sonore et édition musicale,09 72 19 05 79,http://www.alphasound.fr,209600
,Almateos,,http://www.afjv.com/img/logo2/almateos.png,75018,,,"Studio de développement de jeux vidéo pour tout type de plateforme et de technologie.Le premier jeu d'Almateos, ""Le Président"", est disponible sur Facebook.La plateforme Multeegaming éditée précédemment par Almateos a été fermée fin 2013.",Information indisponible,vincent@almateos.com,"110, rue des Poissonniers",Paris,2010,SA,"Vincent MOREL - Président - vincent@almateos.com 
 Yoann SAUBOT - Directeur communication - yoann@almateos.com",Evry B 520 460 502,Studios,,07 60 93 64 64,"MulteeGaming.com se lance dans le community management15 nov. 2012 - Suite au succès de MulteeGaming.com, premier site français à proposer du pari en ligne sur les jeux vidéo avec enjeu financier, Almateos propose aujourd'hui sa plateforme technologique pour ... 
 MulteeGaming réalise une seconde levée de fonds de 80 000 €3 sept. 2012 - Après une première levée de fonds de 300 000 € réalisée auprès de 3T Capital en juillet 2012, MulteeGaming a réussi à mobiliser les internautes de WiSEED pour l'aider à poursuivre son développement. 
 MulteeGaming réalise une levée de fonds de 300 K€18 juil. 2012 - Cette levée de fonds va permettre à MulteeGaming, site lancé en juillet 2011 par 5 étudiants de Télécom SudParis et de Télécom Ecole de Management, de poursuivre son développement. Crée en juillet ... 
 MulteeGaming lance une offre de tournois inédite en France8 fév. 2012 - Après avoir lancé il y a quelques mois le premier site de pari sur jeux vidéo en France, MulteeGaming enrichi son offre avec des tournois FIFA12, PES2012, Starcraft 2 et HALO tous les jours entre...",http://www.afjv.com/societe/640-almateos.htm,"110, rue des Poissonniers 75018 Paris","6311Z - Traitement de données, hébergement et activités connexes",,http://www.almateos.com/,17500
,Almost Games Studio,,http://www.afjv.com/img/logo2/almost-games-studio.png,77600,,,"Almost Games Studio est un studio de création et de développement de jeux vidéos indépendants. Il a été fondé en 2016 par deux amis, Nicolas Nguyen et Clément Pévrier, autour d'un concept de jeu novateur mêlant résolution d'énigmes et discussions instantanées avec des chatbots . Le studio axe ses productions autour de jeux ayant un gameplay innovant et proposant des histoires fortes. La volonté des créateurs est de briser le 4ème mur séparant le joueur, du jeu.",Information indisponible,contact@almostgamestudio.com,91 avenue Marie Curie,Bussy Saint Georges,2016,SAS,"Clément PEVRIER - Président - Game designer 
 Nicolas NGUYEN - Directeur Général - Game designer",Meaux B 822 428 942,Studios,,0687987165,"Interview de Clément Pévrier, co-auteur de ""Ana The Game""11 nov. 2016 - Ana The Game est un jeu d'enquête se basant sur les fonctions classiques d'un téléphone. Le joueur dispose ainsi d'une messagerie, de galeries photos et vidéos, de notes et de calendriers qui lui ...",http://www.afjv.com/societe/962-almost-games-studio.htm,91 avenue Marie Curie 77600 Bussy Saint Georges,5821Z - Édition de jeux électroniques,,http://anathegame.com/,
,Alkemi,,http://www.afjv.com/img/logo2/alkemi.png,44300,,,"Alkemi est un petit studio de jeux vidéo indépendant basé à Nantes, France. Pour l'instant, nous sommes deux et travaillons activement sur nos prochaines productions.A l'origine, nous sommes des experts en Flash, des artistes ainsi que les développeurs, avec un historique de Web Agency... mais il y a trois ans, nous avons décidé de nous lancer dans  la production de petits jeux fun mais avec une qualité de production élevée. Avec ""Transcripted"", notre premier jeu sur PC & Mac, nous avons acquis de solides connaissances de Unity.Nous travaillons sur nos propres productions, mais nous offrons également nos services aux studios de jeux vidéo, aux agences Web et nous enseignons même Flash ou Unity de temps à autre.",Information indisponible,,"2, rue Robert le Ricolais",Nantes,2009,SARL unipersonnelle,Alain PUGET -  - Gérant,Nantes B 517 684 007,Studios,,,,http://www.afjv.com/societe/714-alkemi.htm,"2, rue Robert le Ricolais 44300 Nantes",6201Z - Programmation informatique,,http://www.alkemi-games.com/,216800
,Agharta Studio,,http://www.afjv.com/img/logo2/agharta_studio.png,69006,,,"Agharta studio est spécialisé dans le développement de jeux pour iPhone, iPod touch, iPad et Mac.Visuels époustouflants, idées et technologies sont nos points forts.Agharta Studio a été fondée en octobre 2008 et se trouve à Lyon, France.",Information indisponible,contact@aghartastudio.com,"6, rue Massena",Lyon,2008,SARL,"Aurélien KERBECI - Gérant - Code - contact@aghartastudio.com 
 Alexandre LEBOUCHER - Design 
 Valérian TARAMON - Art 
 Jean-Edouard FAGES - 3D",Lyon B 508 179 512,Studios,,,,http://www.afjv.com/societe/74-agharta-studio.htm,"6, rue Massena 69006 Lyon",6201Z - Programmation informatique,,http://www.aghartastudio.com,95600
,Ak and Co Pr,,http://www.afjv.com/img/logo2/ak_and_co.png,75004,,,"Ak&Co Pr est une agence de communication spécialisée dans les relations presse et le contenu rédactionnel. Nos domaines d'interventions sont principalement les jeux vidéo, les loisirs numériques, l'entertainment, les technologies de l'information et des communications.Nous mettons à votre disposition nos techniques de communication afin de développer votre image tant sur votre marque que sur vos produits. Nous privilégions le sur-mesure, ainsi, toutes nos actions sont adaptées à vos besoins et à vos objectifs.Notre priorité c'est vous. Nous sommes à votre écoute pour répondre à vos besoins et anticiper vos attentes.",1,contact@akandco.fr,"35, rue Quincampoix",Paris,1996,Entreprise Individuelle,Anne-Karine Denoble - Directrice - akdenoble@akandco.fr,404 336 182,Prestataires,,06 18 46 40 25,,http://www.afjv.com/societe/76-ak-and-co-pr.htm,"35, rue Quincampoix 75004 Paris",7021Z - Conseil en relations publiques et communication,,http://www.akandco.fr,
,Ahead Solutions,,http://www.afjv.com/img/logo2/ahead-solutions.png,75018,,,"Ahead Solutions a été créée en Décembre 2010 par Sébastien Bottalico, et est devenue SAS en Août 2011 avec l'arrivée de Mr Ludovic Richiero comme Directeur Financier. Nous travaillons aujourd'hui sur un certain nombre de projets mobiles, notamment liés aux technologies Windows Phone & Cloud, mais également sur d'autres plateformes, ainsi que sur des projets à long terme. Notre vocation est d'anticiper au mieux les besoins des utilisateurs et de nos clients afin de leur proposer des produits innovants, adaptés à leurs attentes et au marché.L'adoption grandissante par nos clients et utilisateurs des produits que nous développons nous conforte dans cette démarche. La société dispose ainsi de ressources en R&D et de partenaires sérieux et sélectionnés pour leurs compétences afin d'accroître la valeur ajoutée des produits ainsi conçus.",Information indisponible,,46/48 rue René Clair,Paris,2010,SAS,"Sébastien BOTTALICO - Président - sebastien@ahead-solutions.com 
 Ludovic RICHIERO - Directeur Administratif et Financier - ludovic@ahead-solutions.com 
 Grégoire POTHIER - Head of Sales - gregoire@ahead-solutions.com",Paris B 528 791 064,Prestataires,,,,http://www.afjv.com/societe/923-ahead-solutions.htm,46/48 rue René Clair 75018 Paris,6201Z - Programmation informatique,,http://www.ahead-solutions.com/,156400
,Alliciant Games,,http://www.afjv.com/img/logo2/alliciant-games.jpg,38000,,,"Un studio indépendant situé à Grenoble créé en 2013 par deux docteurs-ingénieurs en informatique.Nous sommes une petite équipe travaillant avec de multiples artistes, situés dans la ville de Grenoble, à deux pas des Alpes.Notre objectif est de créer des jeux originaux et divertissants à travers lesquels nous souhaitons apporter des gameplays innovants et créer des univers intrigants et engageants.",Information indisponible,contact@alliciant-games.com,1 rue Pierre Arthaud,Grenoble,2013,SA,"Yves Grasland - Gérant et co-fondateur 
 Laurent Lacomme - Gérant et co-fondateur",Grenoble B 798 866 554,Studios,,,,http://www.afjv.com/societe/906-alliciant-games.htm,1 rue Pierre Arthaud 38000 Grenoble,"4741Z - Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé",,http://alliciant-games.com/,
